0.0189,-0.2550,0.9520,	-4.82,-26.82,-73.16,	1.46,-4.88,-3.72	1.2115,	53.143056,-1.450687,	16:14:46:50
0.0193,-0.2550,0.9532,	-4.55,-27.27,-73.27,	1.40,-4.82,-3.66	1.2212,	53.143056,-1.450687,	16:14:46:50
0.0190,-0.2557,0.9534,	-4.55,-27.27,-73.27,	1.53,-4.88,-3.72	1.2308,	53.143056,-1.450688,	16:14:46:60
0.0192,-0.2560,0.9554,	-4.82,-27.27,-73.16,	1.46,-4.82,-3.78	1.2404,	53.143056,-1.450688,	16:14:46:60
0.0197,-0.2557,0.9536,	-4.82,-27.27,-73.16,	1.46,-4.82,-3.66	1.2500,	53.143056,-1.450688,	16:14:46:60
0.0179,-0.2538,0.9513,	-4.91,-27.00,-73.27,	1.34,-4.82,-3.72	1.2596,	53.143056,-1.450688,	16:14:46:70
0.0192,-0.2551,0.9525,	-4.91,-27.00,-73.27,	1.46,-4.82,-3.66	1.2692,	53.143056,-1.450688,	16:14:46:70
0.0181,-0.2559,0.9563,	-4.73,-27.00,-73.37,	1.40,-4.82,-3.72	1.2788,	53.143056,-1.450688,	16:14:46:70
0.0201,-0.2542,0.9557,	-4.73,-27.00,-73.37,	1.46,-4.82,-3.66	1.2885,	53.143056,-1.450688,	16:14:46:80
0.0192,-0.2555,0.9556,	-4.64,-27.00,-73.16,	1.40,-4.82,-3.66	1.2981,	53.143056,-1.450688,	16:14:46:80
0.0188,-0.2546,0.9539,	0.00,0.00,0.00,	1.46,-4.82,-3.66	1.3077,	53.143056,-1.450688,	16:14:46:80
0.0182,-0.2550,0.9553,	-4.82,-26.91,-73.16,	1.40,-4.88,-3.72	1.3173,	53.143056,-1.450689,	16:14:46:90
0.0184,-0.2543,0.9541,	-4.45,-27.00,-72.96,	1.34,-4.88,-3.66	1.3269,	53.143056,-1.450689,	16:14:46:90
0.0190,-0.2556,0.9547,	-4.91,-27.09,-73.27,	1.40,-4.88,-3.66	1.3462,	53.143056,-1.450689,	16:14:47:0
0.0186,-0.2555,0.9539,	-4.91,-27.09,-73.27,	1.40,-4.82,-3.66	1.3558,	53.143056,-1.450689,	16:14:47:0
0.0189,-0.2544,0.9564,	-4.64,-26.91,-73.27,	1.46,-4.82,-3.66	1.3654,	53.143056,-1.450689,	16:14:47:10
0.0193,-0.2550,0.9551,	-4.64,-26.91,-73.27,	1.40,-4.82,-3.66	1.3750,	53.143056,-1.450689,	16:14:47:10
0.0188,-0.2552,0.9539,	-4.73,-27.18,-73.06,	1.46,-4.76,-3.66	1.3846,	53.143056,-1.450689,	16:14:47:10
0.0203,-0.2552,0.9545,	-4.73,-27.18,-73.06,	1.34,-4.88,-3.66	1.3942,	53.143056,-1.450690,	16:14:47:20
0.0188,-0.2545,0.9576,	-4.64,-27.09,-73.06,	1.53,-4.88,-3.60	1.4038,	53.143056,-1.450690,	16:14:47:20
0.0188,-0.2550,0.9557,	-4.64,-27.09,-73.06,	1.34,-4.76,-3.72	1.4135,	53.143056,-1.450690,	16:14:47:20
0.0189,-0.2542,0.9583,	-4.73,-27.00,-73.06,	1.40,-4.82,-3.66	1.4231,	53.143056,-1.450690,	16:14:47:30
0.0187,-0.2546,0.9576,	-4.73,-27.00,-73.06,	1.34,-4.82,-3.60	1.4327,	53.143056,-1.450690,	16:14:47:30
0.0192,-0.2538,0.9598,	-4.82,-26.91,-73.16,	1.46,-4.82,-3.72	1.4423,	53.143056,-1.450690,	16:14:47:30
0.0200,-0.2562,0.9637,	-4.82,-26.91,-73.16,	1.46,-4.88,-3.72	1.4519,	53.143056,-1.450691,	16:14:47:40
0.0201,-0.2551,0.9592,	-4.64,-26.73,-73.06,	1.46,-4.88,-3.66	1.4615,	53.143056,-1.450691,	16:14:47:40
0.0194,-0.2538,0.9620,	-4.64,-26.73,-73.06,	1.34,-4.88,-3.72	1.4712,	53.143056,-1.450691,	16:14:47:50
0.0194,-0.2531,0.9579,	-4.55,-27.00,-72.96,	1.40,-4.82,-3.66	1.4808,	53.143056,-1.450691,	16:14:47:50
0.0192,-0.2551,0.9624,	-4.55,-27.00,-72.96,	1.40,-4.82,-3.72	1.4904,	53.143056,-1.450691,	16:14:47:50
0.0186,-0.2535,0.9567,	-5.00,-27.09,-73.37,	1.46,-4.88,-3.66	1.5000,	53.143056,-1.450690,	16:14:47:60
0.0189,-0.2545,0.9585,	-5.00,-27.09,-73.37,	1.46,-4.76,-3.66	1.5096,	53.143056,-1.450690,	16:14:47:60
0.0186,-0.2546,0.9541,	-5.09,-26.82,-73.27,	1.53,-4.82,-3.60	1.5192,	53.143056,-1.450690,	16:14:47:60
0.0194,-0.2552,0.9607,	-4.73,-27.00,-73.06,	1.46,-4.88,-3.72	1.5385,	-50937.220649,-14.000000,	16:14:47:70
0.0195,-0.2556,0.9561,	-4.55,-27.00,-73.16,	1.46,-4.88,-3.66	1.5481,	-50937.220649,-14.000000,	16:14:47:70
0.0188,-0.2556,0.9576,	-4.55,-27.00,-73.16,	1.40,-4.76,-3.72	1.5577,	53.143056,-1.450692,	16:14:47:80
0.0179,-0.2539,0.9543,	-5.00,-27.09,-73.06,	1.46,-4.76,-3.66	1.5673,	53.143056,-1.450692,	16:14:47:80
0.0187,-0.2567,0.9535,	-5.00,-27.09,-73.06,	1.34,-4.76,-3.66	1.5769,	53.143056,-1.450692,	16:14:47:80
0.0179,-0.2533,0.9503,	-4.64,-27.09,-73.16,	1.40,-4.88,-3.66	1.5865,	53.143056,-1.450692,	16:14:47:90
0.0198,-0.2555,0.9495,	-4.64,-27.09,-73.16,	1.40,-4.88,-3.66	1.5962,	53.143056,-1.450692,	16:14:47:90
0.0186,-0.2551,0.9503,	-4.73,-27.09,-73.27,	1.40,-4.76,-3.66	1.6058,	53.143056,-1.450692,	16:14:47:90
0.0182,-0.2544,0.9548,	-4.73,-27.09,-73.27,	1.40,-4.88,-3.72	1.6154,	53.143056,-1.450692,	16:14:48:0
0.0192,-0.2538,0.9500,	-4.64,-26.91,-72.96,	1.46,-4.82,-3.72	1.6250,	53.143056,-1.450692,	16:14:48:0
0.0187,-0.2563,0.9536,	-4.64,-26.91,-72.96,	1.40,-4.88,-3.60	1.6346,	53.143056,-1.450692,	16:14:48:10
