0.1212,0.1747,0.9564,		-38.21,5.37,169.56,	5.1731,		53.230168,-1.480941,	15:14:19:0
0.0875,0.1987,0.9452,		-50.29,28.63,142.21,	5.1827,		53.230168,-1.480941,	15:14:19:0
0.0297,0.2157,0.9896,		-46.81,32.71,139.04,	5.1923,		53.230168,-1.480941,	15:14:19:0
0.0172,0.2319,0.9673,		-34.67,22.71,151.86,	5.2019,		53.230168,-1.480941,	15:14:19:0
0.0222,0.2444,0.9492,		-31.98,18.37,155.52,	5.2115,		53.230168,-1.480941,	15:14:19:0
0.0000,0.2499,0.9703,		-24.72,14.65,154.42,	5.2212,		53.230171,-1.480938,	15:14:19:20
-0.0131,0.2415,0.9706,		-12.70,11.54,151.12,	5.2308,		53.230171,-1.480938,	15:14:19:20
-0.0609,0.2406,0.9420,		-8.48,13.79,138.12,	5.2404,		53.230171,-1.480938,	15:14:19:20
-0.0990,0.2266,0.9525,		-7.08,17.03,128.78,	5.2500,		53.230171,-1.480938,	15:14:19:20
-0.1378,0.2074,0.9500,		0.12,15.38,121.40,	5.2596,		53.230171,-1.480938,	15:14:19:20
-0.1565,0.2211,0.9237,		6.47,11.23,113.53,	5.2692,		53.230173,-1.480935,	15:14:19:40
-0.1628,0.2395,0.9193,		5.62,9.03,103.70,	5.2788,		53.230173,-1.480935,	15:14:19:40
-0.1665,0.2408,0.9283,		11.23,8.18,93.20,	5.2885,		53.230173,-1.480935,	15:14:19:40
-0.1506,0.2582,0.8835,		9.77,7.57,77.15,	5.2981,		53.230173,-1.480935,	15:14:19:40
-0.1583,0.2673,0.8843,		5.07,7.63,64.33,	5.3077,		53.230173,-1.480935,	15:14:19:40
-0.1536,0.2899,0.9048,		-6.47,4.70,52.43,	5.3173,		53.230173,-1.480935,	15:14:19:40
-0.1478,0.3003,0.9194,		-5.31,-1.71,41.81,	5.3269,		53.230175,-1.480935,	15:14:19:60
-0.1919,0.3257,0.9688,		-1.28,-6.53,28.14,	5.3365,		53.230175,-1.480935,	15:14:19:60
-0.2352,0.3733,1.0206,		20.51,-25.09,24.54,	5.3462,		53.230175,-1.480935,	15:14:19:60
-0.1843,0.4879,0.9713,		14.47,-38.82,26.55,	5.3558,		53.230175,-1.480935,	15:14:19:60
-0.0927,0.4409,0.9957,		-23.56,-26.98,32.96,	5.3654,		53.230175,-1.480935,	15:14:19:60
-0.0464,0.3462,1.0129,		-24.60,-13.73,24.84,	5.3750,		53.230175,-1.480935,	15:14:19:60
-0.0667,0.3293,0.9758,		-4.76,-1.83,12.57,	5.3846,		53.230177,-1.480934,	15:14:19:80
-0.0715,0.3292,0.9082,		2.14,-2.62,11.47,	5.3942,		53.230177,-1.480934,	15:14:19:80
-0.0858,0.3280,0.8488,		7.08,-3.23,6.96,	5.4038,		53.230177,-1.480934,	15:14:19:80
-0.0957,0.3401,0.8248,		5.74,-2.69,4.58,	5.4135,		53.230177,-1.480934,	15:14:19:80
-0.0865,0.3181,0.8438,		3.48,-8.00,4.58,	5.4231,		53.230177,-1.480934,	15:14:19:80
-0.0923,0.3087,0.8577,		5.68,-6.35,1.10,	5.4327,		53.230178,-1.480934,	15:14:20:0
-0.1335,0.3085,0.8735,		3.23,-6.23,-4.21,	5.4423,		53.230178,-1.480934,	15:14:20:0
-0.1637,0.3195,0.9296,		-2.32,-3.91,-2.81,	5.4519,		53.230178,-1.480934,	15:14:20:0
-0.1842,0.3082,0.9879,		-4.09,-5.68,4.70,	5.4615,		53.230178,-1.480934,	15:14:20:0
-0.1714,0.3026,0.9756,		-3.60,-0.06,6.71,	5.4712,		53.230178,-1.480934,	15:14:20:0
-0.1727,0.2643,1.0355,		-10.38,4.88,3.78,	5.4808,		53.230178,-1.480934,	15:14:20:0
-0.1633,0.2825,1.0393,		-9.03,2.50,2.44,	5.4904,		53.230179,-1.480932,	15:14:20:20
-0.1482,0.2511,1.0857,		-14.53,2.69,4.76,	5.5000,		53.230179,-1.480932,	15:14:20:20
-0.1411,0.2423,1.0415,		-9.64,15.01,-1.65,	5.5096,		53.230179,-1.480932,	15:14:20:20
-0.1199,0.3036,1.1177,		-15.81,19.47,3.60,	5.5192,		53.230179,-1.480932,	15:14:20:20
-0.0870,0.2947,1.2018,		-15.62,-26.79,33.33,	5.5288,		53.230179,-1.480932,	15:14:20:20
0.0404,0.2443,1.1648,		-25.15,-36.19,27.28,	5.5385,		53.230179,-1.480932,	15:14:20:20
0.0253,0.1405,1.1455,		-19.96,-8.00,16.66,	5.5481,		53.230179,-1.480931,	15:14:20:40
-0.0383,0.1543,1.0397,		-3.05,6.29,10.93,	5.5577,		53.230179,-1.480931,	15:14:20:40
-0.0798,0.2026,0.9305,		-7.87,4.03,17.52,	5.5673,		53.230179,-1.480931,	15:14:20:40
-0.0408,0.1321,0.9260,		-2.38,6.96,23.38,	5.5769,		53.230179,-1.480931,	15:14:20:40
-0.0402,0.1290,0.8005,		18.49,13.31,7.32,	5.5865,		53.230179,-1.480931,	15:14:20:40
-0.0858,0.1578,0.7203,		5.80,21.42,-0.49,	5.5962,		53.230180,-1.480928,	15:14:20:60
-0.1400,0.0973,0.7706,		7.75,21.00,7.45,	5.6058,		53.230180,-1.480928,	15:14:20:60
-0.1501,0.1084,0.6851,		20.87,11.60,0.61,	5.6154,		53.230180,-1.480928,	15:14:20:60
-0.1759,0.1234,0.7114,		11.90,12.39,-5.07,	5.6250,		53.230180,-1.480928,	15:14:20:60
-0.2101,0.1426,0.8518,		9.70,1.34,-9.40,	5.6346,		53.230180,-1.480928,	15:14:20:60
-0.2162,0.1301,0.9818,		5.49,-13.55,-19.35,	5.6442,		53.230180,-1.480928,	15:14:20:60
-0.2028,0.2223,1.0298,		22.09,-5.55,-33.14,	5.6538,		53.230181,-1.480925,	15:14:20:80
-0.2091,0.3059,1.0986,		14.95,5.31,-43.21,	5.6635,		53.230181,-1.480925,	15:14:20:80
-0.2162,0.2714,1.1311,		7.75,7.57,-36.68,	5.6731,		53.230181,-1.480925,	15:14:20:80
-0.3020,0.3853,0.9961,		27.10,9.09,-29.17,	5.6827,		53.230181,-1.480925,	15:14:20:80
-0.0892,0.3583,1.2783,		-26.79,-19.10,-7.32,	5.6923,		53.230181,-1.480925,	15:14:20:80
0.0393,0.1759,1.2197,		-16.97,-35.46,12.51,	5.7019,		53.230181,-1.480925,	15:14:20:80
0.0281,0.2496,1.0052,		6.71,-6.29,-11.90,	5.7115,		53.230181,-1.480921,	15:14:21:0
-0.0618,0.2733,1.0215,		-17.09,-1.40,-15.32,	5.7212,		53.230181,-1.480921,	15:14:21:0
