-0.1566,0.0024,0.9792,	0.49,-4.46,-2.56,	19.4423		0.000000,0.000000,	15:30:2:20
-0.1560,0.0000,0.9788,	0.61,-4.39,-2.56,	19.4519		0.000000,0.000000,	15:30:2:20
-0.1548,0.0000,0.9789,	0.55,-4.39,-2.56,	19.4615		0.000000,0.000000,	15:30:2:20
-0.1565,0.0005,0.9797,	0.49,-4.39,-2.50,	19.4712		0.000000,0.000000,	15:30:2:20
-0.1552,0.0012,0.9802,	0.55,-4.39,-2.56,	19.4808		0.000000,0.000000,	15:30:2:20
-0.1567,-0.0001,0.9800,	0.55,-4.46,-2.50,	19.4904		0.000000,0.000000,	15:30:2:40
-0.1556,0.0010,0.9807,	0.49,-4.39,-2.50,	19.5000		0.000000,0.000000,	15:30:2:40
-0.1553,0.0015,0.9794,	0.55,-4.39,-2.56,	19.5096		0.000000,0.000000,	15:30:2:40
-0.1566,-0.0004,0.9797,	0.49,-4.39,-2.44,	19.5192		0.000000,0.000000,	15:30:2:40
-0.1549,-0.0001,0.9801,	0.49,-4.46,-2.56,	19.5288		0.000000,0.000000,	15:30:2:60
-0.1571,-0.0010,0.9812,	0.49,-4.46,-2.56,	19.5385		0.000000,0.000000,	15:30:2:60
-0.1559,0.0006,0.9803,	0.55,-4.39,-2.56,	19.5481		0.000000,0.000000,	15:30:2:60
-0.1554,0.0016,0.9810,	0.55,-4.46,-2.56,	19.5577		0.000000,0.000000,	15:30:2:60
-0.1560,-0.0004,0.9789,	0.55,-4.46,-2.50,	19.5673		0.000000,0.000000,	15:30:2:60
-0.1558,0.0002,0.9802,	0.55,-4.39,-2.50,	19.5769		0.000000,0.000000,	15:30:2:60
-0.1558,0.0002,0.9786,	0.55,-4.46,-2.50,	19.5865		0.000000,0.000000,	15:30:2:80
-0.1565,-0.0010,0.9794,	0.49,-4.46,-2.50,	19.5962		0.000000,0.000000,	15:30:2:80
-0.1549,0.0006,0.9789,	0.55,-4.39,-2.56,	19.6058		0.000000,0.000000,	15:30:2:80
-0.1578,0.0001,0.9812,	0.55,-4.52,-2.50,	19.6154		0.000000,0.000000,	15:30:2:80
-0.1556,0.0002,0.9790,	0.55,-4.46,-2.56,	19.6250		0.000000,0.000000,	15:30:2:80
-0.1558,0.0011,0.9791,	0.55,-4.52,-2.56,	19.6346		0.000000,0.000000,	15:30:2:80
-0.1561,0.0011,0.9775,	0.55,-4.46,-2.56,	19.6442		0.000000,0.000000,	15:30:3:0
-0.1552,0.0006,0.9786,	0.49,-4.33,-2.56,	19.6538		0.000000,0.000000,	15:30:3:0
-0.1559,0.0010,0.9788,	0.55,-4.39,-2.56,	19.6635		0.000000,0.000000,	15:30:3:0
-0.1555,0.0020,0.9791,	0.55,-4.39,-2.50,	19.6731		0.000000,0.000000,	15:30:3:0
-0.1560,0.0004,0.9796,	0.55,-4.39,-2.50,	19.6827		0.000000,0.000000,	15:30:3:0
-0.1554,0.0007,0.9792,	0.55,-4.46,-2.62,	19.6923		0.000000,0.000000,	15:30:3:0
-0.1559,-0.0002,0.9789,	0.61,-4.33,-2.50,	19.7019		0.000000,0.000000,	15:30:3:20
-0.1562,-0.0004,0.9784,	0.55,-4.46,-2.50,	19.7115		0.000000,0.000000,	15:30:3:20
-0.1565,0.0012,0.9779,	0.49,-4.39,-2.50,	19.7212		0.000000,0.000000,	15:30:3:20
-0.1572,0.0000,0.9800,	0.55,-4.39,-2.56,	19.7308		0.000000,0.000000,	15:30:3:20
-0.1558,-0.0001,0.9792,	0.55,-4.39,-2.50,	19.7404		0.000000,0.000000,	15:30:3:20
-0.1562,-0.0007,0.9783,	0.61,-4.39,-2.56,	19.7500		0.000000,0.000000,	15:30:3:20
-0.1556,0.0013,0.9790,	0.55,-4.39,-2.56,	19.7596		0.000000,0.000000,	15:30:3:40
-0.1564,0.0004,0.9780,	0.49,-4.46,-2.56,	19.7692		0.000000,0.000000,	15:30:3:40
-0.1571,0.0007,0.9774,	0.55,-4.33,-2.50,	19.7788		0.000000,0.000000,	15:30:3:40
-0.1565,0.0002,0.9791,	0.49,-4.39,-2.56,	19.7885		0.000000,0.000000,	15:30:3:40
-0.1549,0.0001,0.9792,	0.55,-4.39,-2.56,	19.7981		0.000000,0.000000,	15:30:3:40
-0.1572,-0.0004,0.9785,	0.55,-4.39,-2.56,	19.8077		0.000000,0.000000,	15:30:3:60
-0.1549,0.0006,0.9794,	0.55,-4.52,-2.56,	19.8173		0.000000,0.000000,	15:30:3:60
-0.1562,0.0002,0.9796,	0.55,-4.39,-2.56,	19.8269		0.000000,0.000000,	15:30:3:60
-0.1572,0.0005,0.9781,	0.61,-4.46,-2.56,	19.8365		0.000000,0.000000,	15:30:3:60
-0.1550,0.0002,0.9794,	0.55,-4.39,-2.56,	19.8462		0.000000,0.000000,	15:30:3:60
-0.1556,0.0013,0.9795,	0.49,-4.46,-2.56,	19.8558		0.000000,0.000000,	15:30:3:60
-0.1558,0.0000,0.9791,	0.55,-4.39,-2.50,	19.8654		0.000000,0.000000,	15:30:3:60
-0.1560,0.0004,0.9789,	0.55,-4.46,-2.56,	19.8750		0.000000,0.000000,	15:30:3:80
-0.1561,0.0005,0.9788,	0.55,-4.39,-2.62,	19.8846		0.000000,0.000000,	15:30:3:80
-0.1556,-0.0013,0.9772,	0.49,-4.46,-2.50,	19.8942		0.000000,0.000000,	15:30:3:80
-0.1571,0.0002,0.9788,	0.49,-4.39,-2.56,	19.9038		0.000000,0.000000,	15:30:3:80
-0.1554,0.0016,0.9792,	0.55,-4.39,-2.50,	19.9135		0.000000,0.000000,	15:30:3:80
-0.1549,0.0015,0.9779,	0.55,-4.39,-2.50,	19.9231		0.000000,0.000000,	15:30:4:0
-0.1559,0.0024,0.9786,	0.55,-4.46,-2.62,	19.9327		0.000000,0.000000,	15:30:4:0
-0.1555,0.0017,0.9772,	0.55,-4.39,-2.50,	19.9423		0.000000,0.000000,	15:30:4:0
-0.1555,0.0011,0.9789,	0.55,-4.33,-2.50,	19.9519		0.000000,0.000000,	15:30:4:0
-0.1556,0.0016,0.9786,	0.55,-4.39,-2.56,	19.9615		0.000000,0.000000,	15:30:4:0
-0.1569,0.0001,0.9784,	0.55,-4.46,-2.56,	19.9712		0.000000,0.000000,	15:30:4:0
-0.1559,0.0004,0.9781,	0.55,-4.46,-2.56,	19.9808		0.000000,0.000000,	15:30:4:20
-0.1554,0.0018,0.9788,	0.61,-4.46,-2.62,	19.9904		0.000000,0.000000,	15:30:4:20
-0.1564,0.0007,0.9780,	0.55,-4.46,-2.50,	20.0000		0.000000,0.000000,	15:30:4:20
-0.1561,-0.0007,0.9777,	0.49,-4.39,-2.56,	20.0096		0.000000,0.000000,	15:30:4:20
-0.1562,0.0004,0.9783,	0.55,-4.39,-2.62,	20.0192		0.000000,0.000000,	15:30:4:20
-0.1556,0.0016,0.9778,	0.49,-4.39,-2.56,	20.0288		0.000000,0.000000,	15:30:4:20
-0.1562,0.0007,0.9786,	0.55,-4.39,-2.50,	20.0385		0.000000,0.000000,	15:30:4:40
-0.1562,0.0013,0.9781,	0.61,-4.39,-2.56,	20.0481		0.000000,0.000000,	15:30:4:40
-0.1559,0.0015,0.9785,	0.61,-4.39,-2.50,	20.0577		0.000000,0.000000,	15:30:4:40
-0.1550,0.0010,0.9788,	0.55,-4.33,-2.50,	20.0673		0.000000,0.000000,	15:30:4:40
-0.1572,0.0002,0.9773,	0.55,-4.39,-2.50,	20.0769		0.000000,0.000000,	15:30:4:40
-0.1580,-0.0010,0.9790,	0.61,-4.39,-2.56,	20.0865		0.000000,0.000000,	15:30:4:40
-0.1562,0.0018,0.9780,	0.55,-4.39,-2.50,	20.0962		0.000000,0.000000,	15:30:4:60
-0.1556,0.0006,0.9780,	0.55,-4.39,-2.62,	20.1058		0.000000,0.000000,	15:30:4:60
-0.1562,0.0002,0.9790,	0.55,-4.46,-2.50,	20.1154		0.000000,0.000000,	15:30:4:60
-0.1559,0.0011,0.9790,	0.61,-4.39,-2.62,	20.1250		0.000000,0.000000,	15:30:4:60
-0.1555,0.0001,0.9792,	0.61,-4.39,-2.50,	20.1346		0.000000,0.000000,	15:30:4:60
-0.1556,0.0006,0.9771,	0.55,-4.33,-2.50,	20.1442		0.000000,0.000000,	15:30:4:60
-0.1567,-0.0005,0.9800,	0.55,-4.33,-2.50,	20.1538		0.000000,0.000000,	15:30:4:80
-0.1553,0.0020,0.9789,	0.55,-4.39,-2.50,	20.1635		0.000000,0.000000,	15:30:4:80
-0.1556,0.0010,0.9786,	0.55,-4.39,-2.56,	20.1731		0.000000,0.000000,	15:30:4:80
-0.1565,0.0001,0.9790,	0.55,-4.39,-2.56,	20.1827		0.000000,0.000000,	15:30:4:80
-0.1561,0.0007,0.9788,	0.49,-4.39,-2.56,	20.1923		0.000000,0.000000,	15:30:4:80
-0.1560,0.0007,0.9789,	0.49,-4.39,-2.56,	20.2019		0.000000,0.000000,	15:30:4:80
-0.1562,-0.0002,0.9777,	0.55,-4.39,-2.56,	20.2115		0.000000,0.000000,	15:30:5:0
-0.1561,0.0001,0.9794,	0.61,-4.39,-2.56,	20.2212		0.000000,0.000000,	15:30:5:0
-0.1545,0.0006,0.9796,	0.55,-4.46,-2.56,	20.2308		0.000000,0.000000,	15:30:5:0
-0.1566,-0.0001,0.9788,	0.61,-4.33,-2.56,	20.2404		0.000000,0.000000,	15:30:5:0
-0.1553,0.0016,0.9791,	0.55,-4.46,-2.50,	20.2500		0.000000,0.000000,	15:30:5:0
-0.1567,0.0016,0.9785,	0.55,-4.39,-2.50,	20.2596		0.000000,0.000000,	15:30:5:0
-0.1565,0.0004,0.9795,	0.55,-4.39,-2.56,	20.2692		0.000000,0.000000,	15:30:5:20
-0.1555,0.0000,0.9791,	0.49,-4.39,-2.56,	20.2788		0.000000,0.000000,	15:30:5:20
-0.1562,0.0002,0.9791,	0.55,-4.39,-2.56,	20.2885		0.000000,0.000000,	15:30:5:20
-0.1573,-0.0004,0.9792,	0.61,-4.46,-2.56,	20.2981		0.000000,0.000000,	15:30:5:20
-0.1552,0.0009,0.9791,	0.55,-4.46,-2.50,	20.3077		0.000000,0.000000,	15:30:5:20
-0.1565,-0.0006,0.9802,	0.55,-4.39,-2.50,	20.3173		0.000000,0.000000,	15:30:5:20
